from,AED,EUR,GBP,KLK,USD,aidrop,airdrop_recived
0x017e7ae19213718e0f909703619870e1b3c3da26,12,12,12,1,12,6000,0.0
0x02339445dc7e52ff418daf63083a547ed199932e,12,12,12,1,12,6000,0.0
0x033f0c12e8897329550281300c1abef653aa1751,12,12,12,1,12,6000,0.0
0x03465fc46b6ef138c60bcc74f587621b23e997b3,12,12,12,1,12,6000,6000.0
0x09096eaf1158c1a15f469b20390c709a1c13d9de,5,5,5,1,5,3000,0.0
0x0ac38240d728af03c753c87fdf8c85b57da51e17,12,12,12,1,12,6000,0.0
0x13b8e0be36041a42347c7378a2e37387bbb3df60,5,5,5,1,5,3000,0.0
0x167f73eadefce305013a00a3b4b19c956643dbc1,12,12,12,1,12,6000,0.0
0x16d2077fb52ac325feb2f3b00e6e386b1f390125,12,12,12,1,12,6000,0.0
0x1ba5b6f8aad7555522a6c7a7f70f951e4acab846,12,12,12,1,12,6000,0.0
0x1d86a7ab58ef8f8dd85842de29ad59f1489f22bd,12,12,12,1,12,6000,0.0
0x22037ad57c94834b3413bad6d029cb09b6b7fc53,12,12,12,1,12,6000,0.0
0x23671590df8f795e7a1586712228b9e8180b6675,3,3,3,1,3,2000,0.0
0x25541b1ba457c838ff233eed5f68c2fe1718acb0,12,12,12,1,12,6000,0.0
0x266ba57ed01441dc764accee4dbae2e65e7e9447,5,5,5,1,5,3000,0.0
0x27510841c860b57ff8dc40058674a74493bb6522,5,5,5,1,5,3000,0.0
0x2a1a519231303582d473736fc380cf7b09bcbd11,12,12,12,1,12,6000,0.0
0x2ad47b381893d4f3544276ab25242300c6ebbb7c,5,5,5,1,5,3000,0.0
0x35ff9f080c489deaea5efc887935de0bafc7cfee,5,5,5,1,5,3000,0.0
0x3ba621dee9ed97b21269713a4f410d157b05f6e4,12,12,12,1,12,6000,0.0
0x3c124d1e32d73e6513a7fe45502c106ef86e6ab7,12,12,12,1,12,6000,6000.0
0x3de1cc9e805697d9e9eed35fb0b7703b0c60a8d1,12,12,12,1,12,6000,0.0
0x3e9b67ed37a77dd252b1cd29409b23cf0090531b,12,12,12,1,12,6000,0.0
0x3f050acfde857c0045f2bf87b7af55401bc0a3d6,5,5,5,1,5,3000,3000.0
0x4a3384cd5f4347d8582a90293de2b927d3583f4f,5,5,5,1,5,3000,0.0
0x4a78e6460f87f5b7328f172dae4ee0f2b244d312,5,5,5,1,5,3000,0.0
0x4ec2c7065afe7056b1cbedc96c1df43f3dd25868,5,5,5,1,5,3000,0.0
0x4f1c1dae4af64692ebc9f89f1784353a5c3e61ee,12,12,12,1,12,6000,0.0
0x4f65e6d732cc2eb081ad5b243ecce49d8e5c4c70,12,12,12,1,12,6000,0.0
0x53a83a24486e3bca033e01d6988588445bfacbdb,12,12,12,1,12,6000,0.0
0x56eef4bcfb6841d7d5636b51930f4d319d140df4,5,5,5,1,5,3000,0.0
0x57bd44cfe5cbfe178410cb8907af5b77776cd402,5,5,5,1,5,3000,0.0
0x57fab3c52b01a2bb633cf6c3ec87ec9aa0565920,5,5,5,1,5,3000,0.0
0x6287be44dc8ad8a3ad0d5c116d29bc4b0de9795b,12,12,12,1,12,6000,0.0
0x6301d810023c83a46c910b8277792d726346f037,5,5,5,1,5,3000,0.0
0x63a8ee52ba64aacc1da4380604eb8da8feb99b03,12,12,12,1,12,6000,0.0
0x69bfe7917ade52a04edca54086a31182320a4811,5,5,5,1,5,3000,0.0
0x6c00d6767302d74a1d0df623e9e02b1868923c7f,5,5,5,1,5,3000,0.0
0x798a8035d3abfc45f2b82a8bc00b6a5aec25db1e,12,12,12,1,12,6000,0.0
0x7bad42a479aa693b0f86a3ae12ea327727a1662e,5,5,5,1,5,3000,0.0
0x7d70c6fcf0b845c7a03f33a24dd3165fac9d4900,5,5,5,1,5,3000,3000.0
0x7e61567ab55c39e95eea3373d8f28df78cfa3a3b,12,12,12,1,12,6000,0.0
0x86f95a18e5ed9ffcfebf63ba6490293e0472f286,5,5,5,1,5,3000,0.0
0x8c00f1028248657513614c415881bc6d1eadf331,12,12,12,1,12,6000,0.0
0x8e41908c3371eb05a9c5e5d274e44b340232b41e,5,5,5,1,5,3000,0.0
0x8f88183645dff5ff0c62a6245d160c05a11bfb87,3,3,3,1,3,2000,2000.0
0x95316a37ffee7f3f0c177fc848119f0107dabad7,12,12,12,1,12,6000,0.0
0x95bb6b1012dda0b919fc1faba6da9cda23f2962b,12,12,12,1,12,6000,0.0
0x96e6c500372306d7a1eeacbf2e1396c929805c9b,12,12,12,1,12,6000,0.0
0x98ff9e3e1c04eed7e2e2d481c6d4d4e27b87963f,12,12,12,1,12,6000,0.0
0x9aba9750f51fde4ca5b81ef7579ecfbf916d4e98,12,12,12,1,12,6000,0.0
0x9bc252d7caf03edc9225316215cf6dd98d16a5a9,5,5,5,1,5,3000,0.0
0x9e644db004c44df8ddd656817a864b030991fc55,8,8,8,1,8,4000,4000.0
0x9f9b70813ebfae6066b268fb238d5ace119ab036,12,12,12,1,12,6000,0.0
0x9fe62d205a09f1c6ea5e0c071092f46ae2892265,5,5,5,1,5,3000,0.0
0xa19356ad02e4aeaefd1ef2921c5e404fde82037a,12,12,12,1,12,6000,0.0
0xa2fc10203680ffd34b2a203d7b19dc7f786f134e,1,1,1,1,1,1000,1000.0
0xa3894c780c9ff836b9ba962ac4fac2042042ad3e,12,12,12,1,12,6000,0.0
0xa6ec92e73baac1f619f97b911461ad3523d421fe,12,12,12,1,12,6000,0.0
0xa80e925dfb0434a8dee7992c9eb0cd604a4b3ec4,5,5,5,1,5,3000,3000.0
0xae560601f91f3942b20ca9d01f54baa3a0bd4d4c,12,12,12,1,12,6000,0.0
0xb05f6b7ea7c8059c55d1f2ad9e9589ea73131d94,12,12,12,1,12,6000,0.0
0xb1e7c6c792dd93bacb5b56faa9fc70a687f6a56d,12,12,12,1,12,6000,0.0
0xb2898b21095ca89714c195e840a92559651107be,1,1,1,1,1,1000,0.0
0xb29bb308219152088d1aa4dc1e2b155327160b3e,5,5,5,1,5,3000,0.0
0xb2a80ea85f38182e54af7272f916b0f2096cc478,12,12,12,1,12,6000,0.0
0xbd8aea491ac6eb3bbf4d401d3a1dad97a3044377,12,12,12,1,12,6000,0.0
0xc0ae787db0bdff97387e012c75ab671faeeb27e0,5,5,5,1,5,3000,0.0
0xcb06cc51ddae61dc3c057159e511d18819e0c6ba,12,12,12,1,12,6000,0.0
0xccddd8403bf28ccdedce93c1985032281670cf48,25,25,25,1,25,10000,10000.0
0xcd1c27353bf26045712f6ddf64de92e994004f9a,12,12,12,1,12,6000,0.0
0xce4058ffec4764ab6b90634802a713d6908f4771,5,5,5,1,5,3000,0.0
0xcf76cb845994d8027cf870170b0c43c246bb2489,12,12,12,1,12,6000,0.0
0xd54e163a47c539eab05aedc721e5ac2890537350,12,12,12,1,12,6000,0.0
0xd7510f0f4911a1f6b786f75b476265d38b79e1db,5,5,5,1,5,3000,0.0
0xd970b3e086f75c83e868583eab0dc9e60348aa4e,5,5,5,1,5,3000,0.0
0xda4475d08610265fad641dd49dc589a813dc8b7d,12,12,12,1,12,6000,0.0
0xe7ece9a917b9d402024ef0cbd3561e9af119391d,12,12,12,1,12,6000,0.0
0xe844f3de70771f878b3e1f8ab1111bc7fe7140ee,5,5,5,1,5,3000,0.0
0xe8dfa0cd507a8718ba1fe31488f2a7482620fc0e,5,5,5,1,5,3000,0.0
0xeaa1f56a5f4da8e4daf7b294ecefa4915f7bfada,12,12,12,1,12,6000,0.0
0xeab0de2886d5513a83786f898696d6ef4f7edf59,5,5,5,1,5,3000,0.0
0xeb6bc75ba932932c249def59ab929185e38615a3,5,5,5,1,5,3000,0.0
0xeedd96df00650afb11e6c8f3914c87a25b122161,5,5,5,1,5,3000,0.0
0xf368e3bf9b7b546423476b9bd0e5e8da13a64517,12,12,12,1,12,6000,6000.0
0xf3b6b294d576c5d9bae033e658edf9efcfadc5bd,12,12,12,1,12,6000,6000.0
0xf5ed1d57c808e4b5c72999a49ac215491f8c62c1,12,12,12,1,12,6000,0.0
0xf80a66193cef8f26f06045b2ee4026f20f106b9d,5,5,5,1,5,3000,0.0
0xfb6e3c2c4f9162fbf06902d760bc6ae9f1397955,12,12,12,1,12,6000,6000.0
0xfd4efd73f6f1bc0eb945e233c0422a34a88c3c55,5,5,5,1,5,3000,0.0
